high,low,volume,close,open,time
251.4,245.61,28735665.0,251.11,246.55,1677733200
255.62,251.39,35684701.0,255.29,252.19,1677819600
260.12,255.98,28207365.0,256.87,256.425,1678078800
257.69,253.39,24123088.0,254.15,256.3,1678165200
254.5417,250.81,19450823.0,253.7,254.04,1678251600
259.56,251.58,30200253.0,252.32,255.82,1678338000
252.79,247.6,31996859.0,248.59,251.08,1678424400
257.91,245.73,36954718.0,253.92,247.4,1678680000
261.07,255.86,39378537.0,260.79,256.75,1678766400
266.48,259.21,50898403.0,265.44,259.98,1678852800
276.56,263.28,60088255.0,276.2,265.205,1678939200
283.33,276.3201,88709971.0,279.43,278.26,1679025600
277.48,269.85,47384329.0,272.23,276.98,1679284800
275.0,269.5191,39630853.0,273.78,274.88,1679371200
281.04,272.18,37688258.0,272.29,273.4,1679457600
281.06,275.2,37057804.0,277.66,277.94,1679544000
280.63,275.28,31347505.0,280.57,277.24,1679630400
281.4589,275.52,30073276.0,276.38,280.5,1679889600
276.14,272.0451,24105856.0,275.23,275.79,1679976000
281.1398,278.41,29617592.0,280.51,278.96,1680062400
284.46,281.48,27457975.0,284.05,284.23,1680148800
289.27,283.0,33038542.0,288.3,283.73,1680235200
288.27,283.95,27511632.0,287.23,286.52,1680494400
290.4499,285.67,28756221.0,287.18,287.23,1680580800
287.15,282.92,24527199.0,284.34,285.85,1680667200
292.08,282.03,33158103.0,291.6,283.21,1680753600
289.6,284.71,25003020.0,289.39,289.208,1681099200
285.98,281.64,30042628.0,282.83,285.75,1681185600
287.01,281.96,27723054.0,283.49,284.79,1681272000
289.9,283.17,24481543.0,289.84,283.59,1681358400
288.48,283.69,23152824.0,286.14,287.0,1681444800
291.6,286.16,26656389.0,288.8,289.93,1681704000
291.755,287.01,23361219.0,288.37,291.57,1681790400
289.05,284.54,17150271.0,288.45,285.99,1681876800
289.03,285.08,26646612.0,286.11,285.25,1681963200
286.27,283.0608,25168225.0,285.76,285.01,1682049600
284.95,278.72,28910574.0,281.77,282.09,1682308800
281.6,275.37,50242043.0,275.42,279.51,1682395200
299.57,292.73,70241325.0,295.37,296.7,1682481600
305.2,295.25,46945695.0,304.83,295.97,1682568000
308.93,303.31,36820152.0,307.26,304.01,1682654400
308.6,305.15,23852134.0,305.56,306.97,1682913600
309.18,303.91,26788203.0,305.41,307.76,1683000000
308.61,304.09,25292234.0,304.4,306.62,1683086400
307.7626,303.4,24775390.0,305.41,306.24,1683172800
311.97,304.27,31503029.0,310.65,305.72,1683259200
310.2,306.09,23418630.0,308.65,310.13,1683518400
310.04,306.31,23754329.0,307.0,308.0,1683604800
313.0,307.67,33158209.0,312.31,308.62,1683691200
311.12,306.2601,31680179.0,310.11,310.1,1683777600
310.65,306.6,20024597.0,308.97,310.55,1683864000
309.905,307.59,18746866.0,309.46,309.095,1684123200
313.71,309.83,29574742.0,311.74,309.83,1684209600
314.43,310.74,29419136.0,314.0,312.29,1684296000
319.04,313.72,31396883.0,318.52,314.53,1684382400
318.75,316.37,32282676.0,318.34,316.74,1684468800
322.59,318.01,26158814.0,321.18,318.6,1684728000
322.72,315.25,30797173.0,315.26,320.03,1684814400
316.5,312.61,25838258.0,313.85,314.73,1684900800
326.9,320.0,47800926.0,325.92,323.24,1684987200
333.4,323.88,40925939.0,332.89,324.02,1685073600
335.74,330.52,33865984.0,331.21,335.23,1685419200
335.94,327.33,46389412.0,328.39,332.29,1685505600
333.53,324.72,30607866.0,332.58,325.93,1685592000
337.5,332.55,32676513.0,335.4,334.247,1685678400
338.5599,334.6601,21307588.0,335.94,335.22,1685937600
335.37,332.17,20395783.0,333.68,335.33,1686024000
334.49,322.5,40708583.0,323.38,331.65,1686110400
326.64,323.35,23286960.0,325.26,323.935,1686196800
329.99,324.41,22524508.0,326.79,324.99,1686283200
332.0999,325.16,24313889.0,331.85,328.58,1686542400
336.98,330.39,22950652.0,334.29,334.465,1686628800
339.04,332.81,25998659.0,337.34,334.34,1686715200
349.84,337.2,38897380.0,348.1,337.48,1686801600
351.47,341.95,46548777.0,342.33,351.32,1686888000
342.08,335.86,26375804.0,338.05,339.31,1687233600
337.73,332.07,25120187.0,333.56,336.37,1687320000
340.12,333.34,23558444.0,339.71,334.12,1687406400
337.96,333.45,23177273.0,335.02,334.36,1687492800
336.11,328.49,21526363.0,328.6,333.72,1687752000
336.15,329.3,24362340.0,334.57,331.86,1687838400
337.98,333.81,20262455.0,335.85,334.66,1687924800
336.11,332.62,16997043.0,335.05,334.71,1688011200
342.73,337.2,26349587.0,340.54,337.75,1688097600
340.9,336.571,12451557.0,337.99,339.19,1688356800
341.65,334.7276,18173737.0,338.15,335.09,1688529600
342.99,335.5,28201010.0,341.27,337.3,1688616000
341.79,337.0,21214826.0,337.22,339.32,1688702400
335.23,327.59,32794859.0,331.83,334.6,1688961600
332.86,327.0,26700893.0,332.47,331.06,1689048000
341.652,335.67,30004188.0,337.2,336.6,1689134400
343.74,339.02,20569655.0,342.66,339.56,1689220800
351.43,344.31,28405798.0,345.24,347.59,1689307200
346.99,342.2,20365359.0,345.73,345.678,1689566400
366.78,342.17,64897877.0,359.49,345.83,1689652800
362.46,352.435,39756715.0,355.08,361.75,1689739200
357.97,345.37,33793120.0,346.87,353.57,1689825600
